RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
373506,19L07610,2019-12-25 00:32:00,2019,12,0,25,4E,COMMON ASSAULT,,UNKNOWN,WESTERN,SANDTOWN-WINCHESTER,UNKNOWN,39.3070756387078,-76.64652537567213,0.97,0.01,28500,0.38,Black
373507,19L07793,2019-12-25 18:57:00,2019,12,18,25,4B,AGG. ASSAULT,,KNIFE,NORTHWEST,EAST ARLINGTON,UNKNOWN,39.33189776419008,-76.6685734101561,0.63,0.28,52000,0.22,Black
373508,19L06097,2019-12-18 09:00:00,2019,12,9,18,4E,COMMON ASSAULT,,UNKNOWN,NORTHWEST,CENTRAL PARK HEIGHTS,STREET,39.34034031749558,-76.6652232401551,0.9,0.04,33000,0.32,Black
373509,19L05606,2019-12-18 08:56:00,2019,12,8,18,4C,AGG. ASSAULT,,OTHER,NORTHEAST,FRANKFORD,UNKNOWN,39.327429170653375,-76.55757201783652,0.65,0.22,39000,0.25,Black
373510,19L05870,2019-12-18 21:52:00,2019,12,21,18,1A,HOMICIDE,,FIREARM,NORTHEAST,HAMPDEN,ALLEY,39.33279556043731,-76.63843624097086,0.1,0.82,62000,0.1,White
373511,19L06652,2019-12-18 15:52:00,2019,12,15,18,6J,LARCENY,,UNKNOWN,SOUTHWEST,WESTGATE,UNKNOWN,39.28080210864638,-76.70868730122454,0.9,0.04,34000,0.3,Black
373512,19L06048,2019-12-18 23:50:00,2019,12,23,18,6C,LARCENY,,UNKNOWN,NORTHWEST,TOWANDA-GRANTLEY,OTHER - INSIDE,39.33851336982818,-76.66818178190739,0.63,0.28,52000,0.22,Black
373513,19L05596,2019-12-18 08:34:00,2019,12,8,18,4C,AGG. ASSAULT,,OTHER,NORTHEAST,HAMILTON HILLS,STREET,39.36713290628289,-76.57136588229233,0.63,0.28,52000,0.22,Black
373515,19L05826,2019-12-18 06:30:00,2019,12,6,18,5A,BURGLARY,,UNKNOWN,NORTHEAST,ARMISTEAD GARDENS,ROW/TOWNHOUSE-OCC,39.304872673118815,-76.55514766219147,0.55,0.35,42000,0.2,Black
373516,19L35097,2019-12-18 08:01:00,2019,12,8,18,6J,LARCENY,,UNKNOWN,SOUTHEAST,GREEKTOWN,UNKNOWN,39.29128779719376,-76.55666523822259,0.12,0.75,59000,0.11,White
373517,19L05675,2019-12-18 06:00:00,2019,12,6,18,6J,LARCENY,,UNKNOWN,SOUTHWEST,CARROLL-SOUTH HILTON,UNKNOWN,39.28535785717797,-76.67060175018494,0.63,0.28,52000,0.22,Black
