RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
471330,17L09179,2017-12-23 18:45:00,2017,12,18,23,4E,COMMON ASSAULT,,UNKNOWN,SOUTHERN,CURTIS BAY,STREET,39.223888384245775,-76.5884757328332,0.45,0.38,35000,0.28,Neither
471331,17L09442,2017-12-23 20:30:00,2017,12,20,23,7A,AUTO THEFT,,UNKNOWN,NORTHWEST,ARLINGTON,STREET,39.34602195985036,-76.68307613460492,0.87,0.06,41000,0.22,Black
471332,17L08923,2017-12-23 00:15:00,2017,12,0,23,6J,LARCENY,,UNKNOWN,EASTERN,EAST BALTIMORE MIDWAY,UNKNOWN,39.31645104013207,-76.59573371646665,0.93,0.02,26000,0.41,Black
471333,17L08953,2017-12-23 01:00:00,2017,12,1,23,4E,COMMON ASSAULT,,UNKNOWN,NORTHERN,CHARLES VILLAGE,UNKNOWN,39.31880963165752,-76.619549006,0.18,0.68,52000,0.15,White
471334,17L09288,2017-12-23 23:40:00,2017,12,23,23,4E,COMMON ASSAULT,,UNKNOWN,NORTHERN,ABELL,PIZZA/OTHER DELIVERY,39.32341838620701,-76.6131377981919,0.2,0.68,58000,0.12,White
471335,17L09419,2017-12-23 17:00:00,2017,12,17,23,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHERN,HAMPDEN,STREET,39.333807763305245,-76.63646187991523,0.1,0.82,62000,0.1,White
471336,17L09202,2017-12-23 17:00:00,2017,12,17,23,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHERN,CHINQUAPIN PARK,UNKNOWN,39.364195686107045,-76.60988137698065,0.42,0.45,56000,0.14,Neither
471337,17L09566,2017-12-23 17:00:00,2017,12,17,23,5A,BURGLARY,,UNKNOWN,WESTERN,SANDTOWN-WINCHESTER,UNKNOWN,39.29913154277894,-76.6403187372972,0.97,0.01,28500,0.38,Black
471338,17L09060,2017-12-23 10:48:00,2017,12,10,23,6G,LARCENY,,UNKNOWN,CENTRAL,DOWNTOWN,HOSP/NURS. HOME,39.2886450358858,-76.6147160172302,0.32,0.52,62000,0.12,White
471497,17L11102,2017-12-29 13:10:00,2017,12,13,29,4C,AGG. ASSAULT,,OTHER,NORTHWEST,WEST FOREST PARK,ALLEY,39.32176470911429,-76.68762569338345,0.63,0.28,52000,0.22,Black
