RowID,CaseNumber,CrimeDateTime,Year,Month,Hour,Day,CrimeCode,Description,Inside_Outside,Weapon,District,Neighborhood,PremiseType,Latitude,Longitude,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
434790,18H04697,2018-08-12 22:00:00,2018,8,22,12,3LF,ROBBERY,,FIREARM,NORTHEAST,GLENHAM-BELHAR,ROW/TOWNHOUSE-OCC,39.350030354410585,-76.54055435597891,0.63,0.28,52000,0.22,Black
434791,18H04699,2018-08-12 19:00:00,2018,8,19,12,7A,AUTO THEFT,,UNKNOWN,NORTHWEST,CONCERNED CITIZENS OF FOREST PARK,STREET,39.32467401961993,-76.68391835380557,0.9,0.04,30000,0.34,Black
434792,18H04966,2018-08-12 23:00:00,2018,8,23,12,5D,BURGLARY,,UNKNOWN,NORTHWEST,FALLSTAFF,DRUG STORE / MED  BL,39.36435627071252,-76.70272629732521,0.63,0.28,52000,0.22,Black
434793,18H04707,2018-08-12 22:48:00,2018,8,22,12,4A,AGG. ASSAULT,,FIREARM,SOUTHWEST,WALBROOK,STREET,39.31110925654211,-76.6726380845038,0.88,0.05,38000,0.25,Black
434794,18H04796,2018-08-12 22:00:00,2018,8,22,12,6G,LARCENY,,UNKNOWN,WESTERN,PENN NORTH,ROW/TOWNHOUSE-OCC,39.31193115504228,-76.64072576108983,0.63,0.28,52000,0.22,Black
434795,18H04562,2018-08-12 14:04:00,2018,8,14,12,4E,COMMON ASSAULT,,UNKNOWN,SOUTHWEST,MORRELL PARK,STREET,39.26513890412803,-76.65580718692523,0.55,0.32,41000,0.22,Black
434796,18H04505,2018-08-12 09:30:00,2018,8,9,12,6C,LARCENY,,UNKNOWN,SOUTHWEST,MORRELL PARK,CONVENIENCE STORE,39.26452287075332,-76.65494689149557,0.55,0.32,41000,0.22,Black
434797,18H04575,2018-08-12 15:15:00,2018,8,15,12,6C,LARCENY,,UNKNOWN,NORTHWEST,CALLAWAY-GARRISON,RETAIL/SMALL BUSINES,39.32730353307013,-76.68139122398092,0.63,0.28,52000,0.22,Black
434798,18H04547,2018-08-12 03:00:00,2018,8,3,12,7A,AUTO THEFT,,UNKNOWN,SOUTHWEST,EDMONDSON VILLAGE,STREET,39.30113629488756,-76.68658280419416,0.91,0.03,36000,0.28,Black
434799,18H04735,2018-08-12 23:40:00,2018,8,23,12,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHEAST,EDNOR GARDENS-LAKESIDE,PARKING LOT-OUTSIDE,39.32911910571168,-76.59727496742607,0.63,0.28,52000,0.22,Black
434800,18H04798,2018-08-12 20:45:00,2018,8,20,12,6D,LARCENY FROM AUTO,,UNKNOWN,SOUTHEAST,FELLS POINT,PARKING LOT-OUTSIDE,39.28315707091357,-76.58831798225383,0.08,0.8,78000,0.08,White
434801,18H35063,2018-08-12 18:30:00,2018,8,18,12,6D,LARCENY FROM AUTO,,UNKNOWN,NORTHWEST,PIMLICO GOOD NEIGHBORS,UNKNOWN,39.34937288087552,-76.67617832043605,0.63,0.28,52000,0.22,Black
434802,18K35095,2018-11-11 19:36:00,2018,11,19,11,6J,LARCENY,,UNKNOWN,SOUTHERN,CURTIS BAY,UNKNOWN,39.227826764746645,-76.58785953745047,0.45,0.38,35000,0.28,Neither
