Neighborhood,Crime_Rate,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category,Det_Rate
EASTWOOD,60,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
EDGEWOOD,569,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
EDMONDSON VILLAGE,578,0.91,0.03,36000.0,0.28,Black,0.020633333333333333
EDNOR GARDENS-LAKESIDE,863,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
ELLWOOD PARK/MONUMENT,1379,0.35,0.52,53000.0,0.14,White,0.07300000000000001
EVERGREEN,47,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
EVERGREEN LAWN,175,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
EVESHAM PARK,81,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
FAIRFIELD AREA,218,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
FAIRMONT,129,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
FALLSTAFF,446,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
FEDERAL HILL,702,0.06,0.87,89000.0,0.05,White,0.07300000000000001
FELLS POINT,1521,0.08,0.7999999999999999,78000.0,0.08,White,0.07300000000000001
FOREST PARK,318,0.8799999999999999,0.05,38000.0,0.25,Black,0.020633333333333333
FOREST PARK GOLF COURSE,41,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
FOUR BY FOUR,290,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
FRANKFORD,3521,0.65,0.22,39000.0,0.25,Black,0.020633333333333333
FRANKLIN SQUARE,834,0.82,0.1,28000.0,0.37,Black,0.020633333333333333
FRANKLINTOWN,158,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
FRANKLINTOWN ROAD,426,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
GARWYN OAKS,268,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
GAY STREET,528,0.91,0.04,27500.0,0.37,Black,0.020633333333333333
GLEN,838,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
GLEN OAKS,426,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
GLENHAM-BELHAR,942,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
GRACELAND PARK,543,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
GREEKTOWN,771,0.12,0.75,59000.0,0.11,White,0.07300000000000001
GREENMOUNT CEMETERY,13,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
GREENMOUNT WEST,494,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
GREENSPRING,475,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
GROVE PARK,345,0.63,0.28,52000.0,0.22000000000000003,Black,0.020633333333333333
GUILFORD,275,0.12,0.78,98000.0,0.04,White,0.07300000000000001
GWYNNS FALLS,418,0.6299999999999999,0.28,52000.0,0.21999999999999997,Black,0.020633333333333333
GWYNNS FALLS/LEAKIN PARK,33,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
HAMILTON HILLS,1625,0.63,0.28,52000.0,0.22,Black,0.020633333333333333
